status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic
6250307292_10156900374752293,"b'The Trump Organization vowed early on there would be ""no new foreign deals"" during Trump\'s tenure as president, but these two projects in India were inked before his election.'","b'Trumps set to launch two real estate projects in India, despite conflict-of-interest concerns'",link,https://www.washingtonpost.com/world/asia_pacific/trumps-set-to-launch-two-real-estate-projects-in-india-despite-conflict-of-interest-concerns/2017/10/27/f7de887c-a2d9-11e7-b573-8ec86cdfe1ed_story.html?tid=sm_fb&utm_term=.0387639cc121,10/28/17 10:30,115,22,40,31,0,1,2,6,75,0,-0.470238095,world
6250307292_10156900525637293,"b""An MRI showed widespread fungal infection throughout his brain. A CT scan revealed it was so swollen that the upper part of his brain was forced down to the lower part.\n\nNow, the 27-year-old's death is the subject of a lawsuit.""","b""'Something is eating my brain,' an inmate said. A lawsuit claims he was left to die.""",link,https://www.washingtonpost.com/news/post-nation/wp/2017/10/27/something-is-eating-my-brain-an-inmate-said-a-lawsuit-says-he-was-left-to-die/?utm_term=.5fd8141a6e58&tid=sm_fb,10/28/17 10:00,1055,37,104,137,1,109,0,504,305,0,-0.43960827,news
6250307292_10156899950807293,"b""Nearly 6 in 10 Americans say Donald Trump's presidency is making the U.S. political system more dysfunctional.""","b""Analysis | 'It's just messed up': Most think political divisions as bad as Vietnam era, new poll shows""",link,https://www.washingtonpost.com/graphics/2017/national/democracy-poll/?tid=sm_fb&utm_term=.76c14cb48b8d,10/28/17 9:30,528,116,101,411,1,4,3,86,23,0,-0.448717949,graphics
6250307292_10156899909482293,"b""President Trump is President Trump, and Republicans knew exactly what they'd be getting when he got elected.""","b""Analysis | Republicans' horrible week (and not-great year) was entirely predictable""",link,https://www.washingtonpost.com/news/the-fix/wp/2017/10/28/republicans-horrible-week-and-not-great-year-was-entirely-predictable/?utm_term=.f8e863b76869&tid=sm_fb,10/28/17 9:00,585,60,51,482,10,5,76,7,5,0,0.359223301,news
6250307292_10156899979807293,b'Many residents in this Tennessee town fear that white supremacist forces have been empowered by the Trump presidency and are likely to turn violent and destructive.',"b""'White Lives Matter' rally organizers adjust strategy to avoid becoming 'another Charlottesville'""",link,https://www.washingtonpost.com/national/residents-and-organizers-worry-about-violence-at-tennessee-rallies/2017/10/27/554c4e40-bb5d-11e7-a908-a3470754bbb9_story.html?utm_term=.1ad05a89431b&tid=sm_fb,10/28/17 8:45,609,136,117,137,2,21,9,108,333,0,-0.454545455,national
6250307292_10156899960862293,"b'""The midterm 2018 elections could be Judgment Day for President Trump. And dress rehearsal for 2020.""'",b'Opinion | Judgment Day for Trump may come sooner than you think',link,https://www.washingtonpost.com/opinions/judgment-day-for-trump-may-come-sooner-than-you-think/2017/10/27/99fc3960-ba95-11e7-be94-fabb0f1e9ffb_story.html?utm_term=.bf3f04c97315&tid=sm_fb,10/28/17 8:30,861,92,102,723,115,13,11,0,1,0,0.446428571,opinions
6250307292_10156895548577293,b'Being a video game voice actor is a career that comes with the risk of hemorrhaged vocal cords -- and little in the way of job security.',"b'In $24 billion video game industry, voice actors struggle to make a living'",link,https://www.washingtonpost.com/business/economy/in-24-billion-video-game-industry-voice-actors-dont-make-enough-to-live-on/2017/10/27/944a0800-98d8-11e7-87fc-c3f7ee4035c9_story.html?tid=sm_fb&utm_term=.6fdc4f68d5d5,10/28/17 8:00,292,33,94,163,1,28,5,84,11,0,-0.34496124,business
6250307292_10156898035052293,"b'""He made it crystal-clear to me through his representative that he would carry out his public duty as a citizen and resident of this community.""'","b'Citizen Obama, welcome to jury duty'",link,https://www.washingtonpost.com/news/politics/wp/2017/10/27/citizen-obama-welcome-to-jury-duty/?utm_term=.6ffbaf008edb,10/28/17 6:30,2997,63,114,2572,353,8,62,0,2,0,0.485882353,news
6250307292_10156880116217293,"b""The new season of Stranger Things, marginally better than the first, references the heck out of everything '80s.""","b""Review | It's the era of the homage and the satisfying 'Stranger Things' is the prototype""",link,https://www.washingtonpost.com/entertainment/tv/its-the-era-of-the-homage-and-the-satisfying-stranger-things-is-the-prototype/2017/10/24/5107dfc4-b2cb-11e7-be94-fabb0f1e9ffb_story.html?tid=sm_fb&utm_term=.5388df1febe1,10/28/17 6:00,204,18,19,184,19,0,0,1,1,0,0.404761905,entertainment
6250307292_10156895146692293,b'David Salisbury knows that witches still get a bad rap. But he hopes to upend the stereotype with each person he encounters.',"b'For this witch, Wicca is about personal responsibility and growth'",link,https://www.washingtonpost.com/lifestyle/this-life-for-this-witch-wicca-is-about-personal-responsibility-and-growth/2017/10/26/20ac55ed-db66-4cc1-82c8-a94b1d49b908_story.html?tid=sm_fb&utm_term=.93257c7d39cd,10/28/17 4:00,119,26,14,100,13,0,6,0,0,0,0.5,lifestyle
6250307292_10156898805152293,"b'During Defense Secretary Jim Mattis\' visit to the Demilitarized Zone - 30 miles from Seoul - South Korean Defense Minister Song Young-Moo pointed to North Korea\'s long-range artillery in the distance and suggested it would be ""unfeasible"" to defend against them in a conflict.'","b""As Mattis promises 'massive military response' to North Korea strike, threat of artillery hangs over Seoul""",link,https://www.washingtonpost.com/world/as-mattis-promises-massive-military-response-to-north-korea-strike-threat-of-artillery-hangs-over-seoul/2017/10/28/7dd7cb92-bb93-11e7-99c6-46bdf7f6f8ba_story.html?utm_term=.e65978fd6d61&tid=sm_fb,10/28/17 2:03,115,12,17,81,2,13,0,18,1,0,-0.25,world
6250307292_10156896568372293,b'The safeguarding academy fears that efforts to make the language more inclusive will ruin it.',"b""Gatekeepers say gender-neutral pronouns pose 'deadly danger' for the French language""",link,https://www.washingtonpost.com/news/worldviews/wp/2017/10/27/is-making-french-less-sexist-a-threat-to-the-language-the-academie-francaise-says-oui/?tid=sm_fb&utm_term=.227bb6ddbff9,10/28/17 2:00,196,35,39,102,3,10,51,2,28,0,0.127659574,news
6250307292_10156896410307293,"b'Scientists working at Jamestown are searching for Lord De La Warr, an early governor of Virginia who gave his name to a state, a river and a bay.'",b'Experts have uncovered remains at the first permanent English colony. But whose bones are they?',link,https://www.washingtonpost.com/local/experts-have-uncovered-remains-at-americas-first-permanent-colony-but-whose-bones-are-they/2017/10/26/6ceaa0c4-b446-11e7-be94-fabb0f1e9ffb_story.html?tid=sm_fb&utm_term=.2ecb79fd449c,10/28/17 0:30,510,9,126,417,16,75,0,1,1,0,0.075268817,local
6250307292_10156895921022293,"b'The study found a ""dose-dependent relationship"" between marijuana use and sex frequency.'","b'Analysis | Marijuana users have more sex, researchers find'",link,https://www.washingtonpost.com/news/wonk/wp/2017/10/27/marijuana-users-have-more-sex-researchers-find/?tid=sm_fb&utm_term=.1a6ccccdff29,10/27/17 23:00,459,80,141,337,28,15,78,1,0,0,0.430327869,news
6250307292_10156896402882293,b'The most immediate threat Amazon might pose is to the business of selling low-cost generics that consumers buy with cash.',b'Analysis | Fears of Amazon moving into prescription drug sales are already disrupting health care',link,https://www.washingtonpost.com/news/wonk/wp/2017/10/27/fears-of-amazon-moving-into-prescription-drug-sales-are-already-disrupting-health-care/?utm_term=.31a8a725feb0&tid=sm_fb,10/27/17 22:30,376,18,64,285,12,51,6,2,20,0,-0.021978022,news
6250307292_10156896397757293,"b""It's still not clear why Mohamad Khweis, once a bus driver in Virginia, traveled to Syria.""",b'He joined the Islamic State \xe2\x80\x94 then fled. Now he will go to prison for 20 years.',link,https://www.washingtonpost.com/local/public-safety/he-joined-the-islamic-state--then-fled-now-he-will-go-to-prison-for-20-years/2017/10/27/9c8a34c2-b813-11e7-9e58-e6288544af98_story.html?tid=sm_fb&utm_term=.45f23b1baf06,10/27/17 22:00,225,86,26,159,4,16,37,7,2,0,0.242424242,local
6250307292_10156897967792293,b'The Washington Free Beacon said it retained Fusion GPS to provide research on multiple Republican candidates in the 2016 presidential election.',b'Conservative website first paid Fusion GPS for Trump research',link,https://www.washingtonpost.com/world/national-security/conservative-website-first-paid-fusion-gps-for-trump-research/2017/10/27/ee05c1d6-bb6f-11e7-9e58-e6288544af98_story.html?tid=sm_fb,10/27/17 21:55,995,121,290,639,12,77,259,1,7,0,0.369382022,world
6250307292_10156897762512293,"b'The GOP client was not ""unknown"" \xe2\x80\x94 not to the Free Beacon, anyway.'","b""Analysis | The Washington Free Beacon reported 'an unknown GOP client' funded Fusion GPS. It was the Beacon.""",link,https://www.washingtonpost.com/news/the-fix/wp/2017/10/27/the-washington-free-beacon-reported-an-unknown-gop-client-funded-fusion-gps-it-was-the-washington-free-beacon/?utm_term=.ec347703779c,10/27/17 21:07,653,53,79,411,5,77,139,0,21,0,0.254132231,news
6250307292_10156896236282293,"b'""The problem was that the National Weather Service did not provide a clear, simple and compelling message. It\'s a problem that lingers five years later.""'","b'Perspective | Five years after Sandy, National Weather Service threat communication is still a pile of mush'",link,https://www.washingtonpost.com/news/capital-weather-gang/wp/2017/10/27/five-years-after-sandy-national-weather-service-threat-communication-is-still-a-pile-of-mush/?utm_term=.f16f42d3e736&tid=sm_fb,10/27/17 21:00,53,6,8,37,0,5,0,10,1,0,-0.34375,news
6250307292_10156897709422293,"b'""In almost every case, I have recognized conduct for which I feel profound guilty and responsibility.""'","b""Mark Halperin apologizes for 'crude and aggressive' behavior as harassment accusations mount""",link,https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/10/27/mark-halperin-apologizes-for-crude-and-aggressive-behavior-as-harassment-accusations-mount/?utm_term=.0d187acc5aca,10/27/17 20:53,143,60,8,63,2,7,5,11,55,0,-0.36875,news
6250307292_10156896759807293,b'Mattis visited the Demilitarized Zone that separates the two countries after months of provocations by the North Korean military.',"b""Mattis, at border of North Korea, criticizes its 'reckless, outlaw behavior'""",link,https://www.washingtonpost.com/news/checkpoint/wp/2017/10/27/mattis-at-border-of-north-korea-criticizes-their-reckless-outlaw-behavior/?utm_term=.34a2e1933dd7&tid=sm_fb,10/27/17 20:45,82,24,13,68,6,5,1,1,1,0,0.178571429,news
6250307292_10156896232167293,"b'A Satanic Temple spokesman said the organization found it ""sad and irresponsible"" that a Texas district allowed the practice in its schools.'",b'The Satanic Temple is speaking out against corporal punishment in schools',link,https://www.washingtonpost.com/news/education/wp/2017/10/27/the-satanic-temple-is-speaking-out-against-corporal-punishment-in-schools/?utm_term=.cf2cdeedbf08&tid=sm_fb,10/27/17 20:30,5851,278,658,4446,517,139,732,3,15,0,0.437766714,news
6250307292_10156896227522293,b'Five politicians were found guilty of violating the Australian constitution by having additional citizenships.',"b""Analysis | Australia's own 'birther controversy' may bring down the government""",link,https://www.washingtonpost.com/news/worldviews/wp/2017/10/27/australias-own-birther-controversy-may-bring-down-the-government/?tid=sm_fb&utm_term=.fe3c3ccf36aa,10/27/17 20:00,132,9,12,70,1,42,16,0,3,0,0.112903226,news
6250307292_10156896223772293,b'Rep. Jackie Speier (D-Calif.) is sharing her personal story of experiencing unwanted sexual advances as a congressional staffer.',b'This congresswoman is starting #MeTooCongress to draw attention to sexual harassment on Capitol Hill',link,https://www.washingtonpost.com/news/powerpost/wp/2017/10/27/this-congresswoman-is-starting-metoocongress-to-draw-attention-to-sexual-harassment-on-capitol-hill/?tid=sm_fb&utm_term=.da2c2234d35b,10/27/17 19:30,342,19,41,252,26,4,1,55,5,0,-0.181318681,news
6250307292_10156895929212293,b'The interstellar interloper is now zooming toward another part of the galaxy.',b'A space rock from another star is spotted in our solar system \xe2\x80\x94 a cosmic first',link,https://www.washingtonpost.com/news/speaking-of-science/wp/2017/10/27/a-space-rock-from-another-star-is-spotted-in-our-solar-system-a-cosmic-first/?tid=sm_fb&utm_term=.0abba0e516ac,10/27/17 19:00,373,12,63,284,24,65,0,0,0,0,0.134831461,news
6250307292_10156897182442293,b'Marshfield Police Chief Rick Gramza said that this case was particularly unique.',"b""A Wisconsin man got locked in a walk-in beer cooler. He had 'everything that he needed,' police say""",link,https://www.washingtonpost.com/news/business/wp/2017/10/27/a-wisconsin-man-got-locked-in-a-walk-in-beer-cooler-he-had-everything-that-he-needed-police-say/?utm_term=.4da9495848f4,10/27/17 18:42,843,115,167,458,18,24,342,0,1,0,0.466233766,news
6250307292_10156896040027293,"b'The Shelbyville Times-Gazette lacks the resources of larger news outlets, but it has other advantages.'","b""Analysis | 'When these guys leave, we're still here': A four-man local newspaper braces for white nationalists and the national media""",link,https://www.washingtonpost.com/news/the-fix/wp/2017/10/27/when-these-guys-leave-were-still-here-a-4-man-local-newspaper-braces-for-white-nationalists-and-the-national-media/?utm_term=.821f86e740ca&tid=sm_fb,10/27/17 18:30,162,24,20,116,3,6,0,9,28,0,-0.369565217,news
6250307292_10156896038242293,"b'When victims of abuse see others taken seriously, they can be more likely to step forward.'","b""'All that anger's unleashed': How sexual misconduct stories convince other victims to come forward""",link,https://www.washingtonpost.com/news/post-nation/wp/2017/10/27/all-that-angers-unleashed-how-sexual-misconduct-stories-convince-other-victims-to-come-forward/?utm_term=.4166c6dbd211&tid=sm_fb,10/27/17 18:00,181,27,16,165,9,2,0,3,2,0,0.125,news
6250307292_10156896861592293,"b'""We have to clean our own house.""\n\nvia Washington Post Opinions, Outlook, and PostEverything'","b""Opinion | I'm one of Mark Halperin's accusers. He's part of a bigger problem we need to fix.""",link,https://www.washingtonpost.com/opinions/im-one-of-mark-halperins-accusers-hes-part-of-a-bigger-problem-we-need-to-fix/2017/10/27/a304f5e0-ba65-11e7-be94-fabb0f1e9ffb_story.html?tid=ss_tw&utm_term=.e77b62a1a966,10/27/17 17:45,90,6,13,79,1,9,0,1,0,0,0,opinions
6250307292_10156896852117293,"b'When Hurt first saw the photo, she was embarrassed. But the photo, she said, eventually had a sobering effect.'",b'A shocking overdose photo exposed her addiction \xe2\x80\x94 and may have saved her life',link,https://www.washingtonpost.com/news/to-your-health/wp/2017/10/27/a-shocking-overdose-photo-exposed-her-addiction-and-may-have-saved-her-life/,10/27/17 17:30,196,19,11,138,8,15,0,33,2,0,-0.232758621,news
