status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic
10513336322_10156110664181323,"b'""Matters should never have got to this stage. They should go no further.""'","b""The Guardian view on Spain's crisis: damage to Catalonia | Editorial""",link,https://www.theguardian.com/commentisfree/2017/oct/27/the-guardian-view-on-spains-crisis-damage-to-catalonia?CMP=fb_gu,2017-10-28 11:40:00,46,12,10,41,2,0,1,1,1,0,0.1,commentisfree,
10513336322_10156110270911323,"b'""Those of you collecting famous sex pests\' excuses for their handiwork will have bagged some real keepers this week.""'","b""That sound? It's Westminster's sex pests rehearsing their excuses | Marina Hyde""",link,https://www.theguardian.com/commentisfree/2017/oct/27/sex-pests-exuses-westminster-george-bush-sr-weinstein?CMP=fb_gu,2017-10-28 11:20:00,53,12,7,43,0,2,2,0,6,0,-0.2,commentisfree,
10513336322_10156110232786323,"b'""It\'s not protest and it\'s not support, it is cruelty and abuse.""'","b""'This is groundbreaking': the activists ending harassment at abortion clinics""",link,https://www.theguardian.com/world/2017/oct/27/abortion-clinic-ealing-london-buffer-zone-activists-women?CMP=fb_gu,2017-10-28 11:00:00,561,23,42,483,73,1,1,3,0,0,0.4551282051282051,world,
10513336322_10156110102091323,"b'""I had no idea what I was getting myself into. When I asked Natasha, I told her I have no idea what\'s going to happen out there and she said, \'That\'s OK, I\'ve never sailed.\'""'","b""'I've never sailed': women rescued at sea admit they weren't properly prepared""",link,https://www.theguardian.com/us-news/2017/oct/28/rescued-women-sailors-not-properly-prepared-hawaii-tahiti?CMP=fb_gu,2017-10-28 10:40:00,244,66,34,137,3,56,36,2,10,0,0.1261682242990654,us-news,
10513336322_10156110137856323,"b'Ego, hubris, whatever you call it, as we rise to positions of power, we too often come to ""believe our own hype"". The inevitable fall can be bruising.'","b""'It was like a bereavement': life after leaving a big job""",link,https://www.theguardian.com/money/2017/oct/28/like-bereavement-life-after-leaving-job-estelle-morris?CMP=fb_gu,2017-10-28 10:20:00,86,7,27,79,1,1,3,2,0,0,0.14285714285714285,money,
10513336322_10156110004516323,"b'Tim Minchin: ""We were taught we were a family, and that we owed each other our dedication, without ever using words like \'love\'.""'","b""Tim Minchin: 'If you ask Mum who was the most trouble, she'd say it was me'""",link,https://www.theguardian.com/lifeandstyle/2017/oct/27/tim-minchin-if-you-ask-mum-who-was-the-most-trouble-shed-say-it-was-me,2017-10-28 10:00:00,38,2,5,37,1,0,0,0,0,0,0.5,lifeandstyle,
10513336322_10156110223376323,b'The warning comes amid fears that Britain could be hit by its biggest flu outbreak in years this winter.',"b'UK at risk as more than 500,000 missing out on flu jab, says Labour'",link,https://www.theguardian.com/society/2017/oct/28/flu-risk-uk-500000-missing-jab-labour?CMP=fb_gu,2017-10-28 09:40:00,121,72,76,72,1,17,3,18,10,0,-0.24489795918367346,society,
10513336322_10156110133726323,"b'""Decades have passed, the pain never goes away, we have just learned to live with it. All we wanted was for you to say \'I am sorry\'.""'","b""A letter to ... the man who caused my sister's death""",link,https://www.theguardian.com/lifeandstyle/2017/oct/28/a-letter-to-the-man-who-caused-my-sisters-death?CMP=fb_gu,2017-10-28 09:20:00,112,3,9,56,4,0,0,52,0,0,-0.42857142857142855,lifeandstyle,
10513336322_10156110256366323,"b'Several parliamentarians said they believed staff members were set to go public over the coming days about their experiences working in Westminster, which could lead to ""a number of resignations"".'","b'Sexual harassment claims still not being taken seriously, say MPs'",link,https://www.theguardian.com/politics/2017/oct/27/mps-complain-sexual-harassment-claims-still-not-being-taken-seriously?CMP=fb_gu,2017-10-28 09:00:00,130,20,30,95,0,4,2,9,20,0,-0.38571428571428573,politics,
10513336322_10156110097586323,"b'Activist Laure Salmona: ""It\'s an insult to all the women who mobilised around the \x1d#MeToo and \x1d#BalanceTonPorc (Expose the pig) hashtags.""'","b""'An insult to women': Roman Polanski retrospective causes outrage""",link,https://www.theguardian.com/world/2017/oct/28/an-insult-to-women-roman-polanski-retrospective-causes-outrage?CMP=fb_gu,2017-10-28 08:40:00,297,41,38,214,0,9,3,2,69,0,-0.40963855421686746,world,
10513336322_10156110215426323,"b'Michael Gove: ""Sometimes I think that coming into the Today studio with you, John Humphrys, is a bit like going into Harvey Weinstein\'s bedroom.""'","b""Gove sparks outcry for Weinstein joke that 'trivialises sexual assault'""",link,https://www.theguardian.com/politics/2017/oct/28/michael-gove-apologises-clumsy-harvey-weinstein-joke-today-show?CMP=fb_gu,2017-10-28 08:30:00,96,34,21,32,0,9,4,1,50,0,-0.3671875,politics,
10513336322_10156110093691323,"b'Yanis Varoufakis: ""My former wife and I managed to have a child when we were breaking up. Not a good idea but it turned out brilliantly.""'","b""Yanis Varoufakis: 'I was missing my daughter so badly'""",link,https://www.theguardian.com/lifeandstyle/2017/oct/28/yanis-varoufakis-i-was-missing-my-daughter-so-badly?CMP=fb_gu,2017-10-28 08:12:52,444,32,44,409,24,5,3,1,2,0,0.34285714285714286,lifeandstyle,
10513336322_10156110088561323,b'British workers can expect among the worst pensions in the developed world.',"b'UK pensions among the worst in the developed world, study finds'",link,https://www.theguardian.com/money/2017/oct/28/uk-state-pension-ubs-britain-australia?CMP=fb_gu,2017-10-28 07:40:00,363,60,177,189,2,18,6,69,79,0,-0.40229885057471265,money,
10513336322_10156109719821323,"b'""We didn\'t leave until the restaurant closed, so I guess that\'s a good sign?""'","b""Blind date: 'He was wearing a great shirt and a big smile'""",link,https://www.theguardian.com/lifeandstyle/2017/oct/28/blind-date-great-shirt-big-smile-sam-sarah?CMP=fb_gu,2017-10-28 06:40:00,126,34,4,117,5,0,4,0,0,0,0.5,lifeandstyle,
10513336322_10156109705466323,"b""The White House's official position is that all of the women were lying, a spokesperson has said.""","b'Women accusing Trump of sexual harassment are lying, says White House'",link,https://www.theguardian.com/us-news/2017/oct/27/donald-trump-sexual-harassment-claims-women-lying-white-house?CMP=fb_gu,2017-10-28 06:20:00,2050,320,192,330,3,109,437,48,1124,0,-0.2126670540383498,us-news,
10513336322_10156109792346323,"b'Spanish PM: ""We never, ever wanted to get to this situation.""'",b'Spain dissolves Catalan parliament and calls fresh elections',link,https://www.theguardian.com/world/2017/oct/27/spanish-pm-mariano-rajoy-asks-senate-powers-dismiss-catalonia-president?CMP=fb_gu,2017-10-28 06:00:00,560,127,110,333,40,31,17,23,116,0,-0.18061674008810572,world,
10513336322_10156109697861323,b'Yes he can.',"b'Barack Obama plans to show up for jury duty, says judge'",link,https://www.theguardian.com/us-news/2017/oct/27/barack-obama-jury-duty-chicago?CMP=fb_gu,2017-10-28 05:40:00,2765,57,120,2501,205,13,44,1,2,0,0.4641509433962264,us-news,
10513336322_10156109696636323,"b'""I think I would have made a great girlfriend or wife: it is sad that no one gave me the chance.""'","b""I'm a relationship virgin: I'm 54 and have never had a boyfriend""",link,https://www.theguardian.com/lifeandstyle/2017/oct/28/relationship-virgin-never-boyfriend-single?CMP=fb_gu,2017-10-28 05:20:00,2217,494,251,1330,114,72,39,658,4,0,-0.28692220969560317,lifeandstyle,
10513336322_10156109684611323,b'High libido?',"b'Cannabis smokers have 20% more sex, researchers find'",link,https://www.theguardian.com/science/2017/oct/28/high-libido-cannabis-smokers-have-20-more-sex-researchers-find?CMP=fb_gu,2017-10-28 05:00:00,807,239,185,576,41,16,172,2,0,0,0.45670995670995673,science,
10513336322_10156109683491323,"b'""This experience of infidelity is so ubiquitous, and so poorly understood that I don\'t think it can be reduced to good and bad, victim and perpetrator.""'","b""Esther Perel: the relationship guru who thinks infidelity isn't all bad""",link,https://www.theguardian.com/lifeandstyle/2017/oct/28/esther-perel-the-relationship-guru-who-thinks-infidelity-isnt-all-bad?CMP=fb_gu,2017-10-28 04:45:00,130,43,20,107,5,3,3,1,11,0,-0.08695652173913043,lifeandstyle,
10513336322_10156109669781323,"b'MP Jess Phillips: ""Michael Gove just left the studio without his dignity.""'","b""Michael Gove apologises for 'clumsy' Harvey Weinstein joke""",link,https://www.theguardian.com/politics/2017/oct/28/michael-gove-apologises-clumsy-harvey-weinstein-joke-today-show?CMP=fb_gu,2017-10-28 04:26:38,395,243,80,194,2,16,37,7,139,0,-0.26616915422885573,politics,
10513336322_10156106410521323,b'The vast majority of asylum seekers are housed by G4S and Serco in the poorest parts of the country where housing is comparatively cheap.',"b""UK asylum seekers living in 'squalid, unsafe slum conditions'""",link,https://www.theguardian.com/uk-news/2017/oct/27/uk-asylum-seekers-living-in-squalid-unsafe-slum-conditions?CMP=fb_gu,2017-10-28 03:30:00,392,112,146,112,0,8,6,107,159,0,-0.4642857142857143,uk-news,
10513336322_10156106113071323,"b'One of the earliest, and oddest, training tools for murder detectives.'",b'The art of murder: miniature dioramas of unexplained deaths \xe2\x80\x93 in pictures',link,https://www.theguardian.com/artanddesign/gallery/2017/oct/27/frances-glessner-lee-unexplained-deaths-dollhouse-true-crime?CMP=fb_gu,2017-10-28 03:00:01,530,84,148,459,20,50,0,1,0,0,0.13380281690140844,artanddesign,
10513336322_10156106069331323,"b'""We have had brilliant ups and devastating downs in our relationship but I feel unappreciated, especially with this new hobby.""'","b""My partner won't stop watching conspiracy theory videos""",link,https://www.theguardian.com/lifeandstyle/2017/oct/27/my-artner-will-noyt-stop-watching-conspiracy-theory-videos?CMP=fb_gu,2017-10-28 02:30:01,1500,2051,192,805,25,20,604,44,2,0,0.41942446043165466,lifeandstyle,
10513336322_10156105758546323,"b'""It turned out a whopping 285-word chunk in the article was copied verbatim, just minimally changed, but several other sections in the article used my arguments without credit. No footnote or reference acknowledged my work.\n\nI was stunned because I couldn\'t believe a full professor of high global standing \xe2\x80\x93 a respected leader in their field \xe2\x80\x93 would do this.""'","b'Plagiarism is rife in academia, so why is it rarely acknowledged?'",link,https://www.theguardian.com/higher-education-network/2017/oct/27/plagiarism-is-rife-in-academia-so-why-is-it-rarely-acknowledged?CMP=fb_gu,2017-10-28 02:00:00,876,63,510,579,5,57,8,67,160,0,-0.3602693602693603,higher-education-network,
10513336322_10156106354351323,"b'""It has taken three generations over six decades to get here. If this is a watershed moment, it\'s been a long time coming.""'","b'At last, an ad that makes my family feel good to be black and British. Thanks Ikea | Michelle De Leon'",link,https://www.theguardian.com/commentisfree/2017/oct/27/ikea-advert-family-feel-good-black-british-racism-whitewashing?CMP=fb_gu,2017-10-28 01:30:00,3099,93,250,2765,320,4,8,2,0,0,0.4880239520958084,commentisfree,
10513336322_10156105790896323,"b'""The Reformation enabled early modern England to become, culturally and politically, the country that in important respects it still is.""'",b'How the Reformation sowed the seeds of Brexit | Martin Kettle',link,https://www.theguardian.com/commentisfree/2017/oct/27/protestantism-wane-reformation-brexit-martin-luther?CMP=fb_gu,2017-10-28 01:00:00,254,75,99,228,2,3,18,3,0,0,0.3269230769230769,commentisfree,
10513336322_10156105764401323,"b'""They had started out playing folk or studying jazz; they had been in R&B bands or soul groups. They forged their songs with a certain maturity, saying: I haven\'t made it yet, and I\'m still playing music and I\'ve got a family and I\'m a more mature, potentially complicated person. What music can I create that reflects where I am in my journey?""'",b'I can go for that: how soft rock finally got cool',link,https://www.theguardian.com/music/2017/oct/27/michael-mcdonald-doobie-brothers-hall-oates-toto-soft-rock-got-cool?CMP=fb_gu,2017-10-27 14:00:00,686,134,199,608,58,2,18,0,0,0,0.48717948717948717,music,
10513336322_10156106802701323,"b""Who's better at golf? Gurbanguly Berdymukhamedov, Donald Trump or Kim Jong il?""","b""Turkmenistan dictator opens golf course \xe2\x80\x93 and quickly hits 'hole in one'""",link,https://www.theguardian.com/world/2017/oct/27/turkmenistan-dictator-gurbanguly-berdymukhamedov-opens-golf-course-hits-hole-in-one?CMP=fb_gu,2017-10-27 13:40:01,583,130,75,304,8,1,264,1,5,0,0.4767025089605735,world,
10513336322_10156106820536323,"b'""The exciting thing about this is that this may be essentially a visitor from another star system""'","b""Mysterious object seen speeding past sun could be 'visitor from another star system'""",link,https://www.theguardian.com/science/2017/oct/27/mysterious-object-detected-speeding-past-the-sun-could-be-from-another-solar-system-a2017-u1?CMP=fb_gu,2017-10-27 13:20:01,3384,243,857,2752,134,427,68,1,2,0,0.1574367088607595,science,
